sourceCode,sourceName,sourceFrequency,sourceConceptId,sourceName_fi,sourceConceptClass,sourceDomain,sourceValidStartDate,sourceValidEndDate
1314,Managers of small enterprises in wholesale and retail trade,0,2002200146,Kaupan ym. alojen pienyritysten johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
1315,Managers of small enterprises of restaurants and hotels,0,2002200147,Hotelli- ja ravintola-alan pienyritysten johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
1316,"Managers of small enterprises in transport, storage and communications",0,2002200148,"Kuljetuksen, varastoinnin ja tietoliikenteen pienyritysten johtajat",Profesiona Code,Provider,1970-01-01,2099-12-31
1317,Managers of small enterprises of business services enterprises,0,2002200149,Yrityspalvelutoiminnan pienyritysten johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
1318,"Managers of small enterprises in personal care, cleaning and related services",0,2002200150,Siivous- ja kauneudenhoitoalan ym. pienyritysten johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
1319,Managers of small enterprises not elsewhere classified,0,2002200151,Muut pienyritysten johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
2,Professionals,0,2002200152,Erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
21,"Physical, mathematical and engineering science professionals",0,2002200153,Matemaattis-luonnontieteelliset ja tekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
211,"Physicists, chemists and related professionals",0,2002200154,Fysiikan ja kemian erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2111,Physicists and astronomers,0,2002200155,Fyysikot ja astronomit,Profesiona Code,Provider,1970-01-01,2099-12-31
2112,Meteorologists,0,2002200156,Meteorologit,Profesiona Code,Provider,1970-01-01,2099-12-31
2113,Chemists,0,2002200157,Kemistit,Profesiona Code,Provider,1970-01-01,2099-12-31
2114,Geologists and geophysicists,0,2002200158,Geologit ja geofyysikot,Profesiona Code,Provider,1970-01-01,2099-12-31
212,"Mathematicians, statisticians and related professionals",0,2002200159,Matematiikan ja tilastotieteen erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2121,Mathematicians and related professionals,0,2002200160,Matematiikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2122,Statistical professionals,0,2002200161,Tilastotieteen erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
213,Computing professionals,0,2002200162,Tietotekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2131,"Computer systems designers, analysts and programmers",0,2002200163,Tietotekniikan suunnittelijat ja ohjelmoijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2139,Computing professionals not elsewhere classified,0,2002200164,Muut tietotekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
214,Architects and engineering science professionals,0,2002200165,Arkkitehdit ja muut tekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2141,"Architects, town and traffic planners",0,2002200166,Talonrakennusalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2142,Civil engineers,0,2002200167,Maank‰ytˆn ja yhdyskuntarakentamisen erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2143,Electrical engineers,0,2002200168,S‰hkˆtekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2144,Electronics and telecommunications engineers,0,2002200169,Elektroniikan ja informaatiotekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2145,Mechanical engineers,0,2002200170,Konetekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2146,Chemical engineers,0,2002200171,Puunjalostuksen ja kemian prosessitekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2147,"Mining engineers, metallurgists and related professionals",0,2002200172,Vuoriteollisuuden prosessitekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2148,Cartographers and surveyors,0,2002200173,Kartoituksen ja maanmittauksen erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2149,"Architects, engineers and related professionals not elsewhere classified",0,2002200174,Muut tekniikan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
22,Life science and health professionals,0,2002200175,Maa- ja mets‰taloustieteiden ja terveydenhuollon erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
221,Life science professionals,0,2002200176,Maa- ja mets‰taloustieteiden ym. erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2211,"Biologists, botanists, zoologists and related professionals",0,2002200177,"Biologit, kasvitieteilij‰t, el‰intieteilij‰t ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
2212,"Pharmacologists, pathologists and related professionals",0,2002200178,"Farmakologit, patologit ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
22121,"Pharmacologists, biochemists and related professionals",0,2002200179,"Farmakologit, biokemistit ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
22122,Pathologists,0,2002200180,Patologit,Profesiona Code,Provider,1970-01-01,2099-12-31
2213,Agronomists and related professionals,0,2002200181,Maa- ja mets‰talouden erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
22131,"Agronomists, horticulturists and fishery professionals",0,2002200182,"Maatalous-, puutarha- ja kalatalousalan erityisasiantuntijat",Profesiona Code,Provider,1970-01-01,2099-12-31
22132,Forestry professionals,0,2002200183,Mets‰alan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
222,Health professionals (except nursing),0,2002200184,"L‰‰k‰rit, proviisorit ja muut terveydenhuollon erityisasiantuntijat",Profesiona Code,Provider,1970-01-01,2099-12-31
2221,Medical doctors,0,2002200185,L‰‰k‰rit,Profesiona Code,Provider,1970-01-01,2099-12-31
22211,Senior physicians,0,2002200186,Ylil‰‰k‰rit,Profesiona Code,Provider,1970-01-01,2099-12-31
22212,Specialists and ward physicians,0,2002200187,Erikoisl‰‰k‰rit ja osastonl‰‰k‰rit,Profesiona Code,Provider,1970-01-01,2099-12-31
22213,Other medical doctors,0,2002200188,Muut l‰‰k‰rit,Profesiona Code,Provider,1970-01-01,2099-12-31
2222,Dentists,0,2002200189,Hammasl‰‰k‰rit,Profesiona Code,Provider,1970-01-01,2099-12-31
2223,Veterinarians,0,2002200190,El‰inl‰‰k‰rit,Profesiona Code,Provider,1970-01-01,2099-12-31
2224,Qualified chemists,0,2002200191,Proviisorit,Profesiona Code,Provider,1970-01-01,2099-12-31
2229,Health professionals (except nursing) not elsewhere classified,0,2002200192,Muut terveydenhuollon erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
223,Matrons and ward sisters,0,2002200193,Ylihoitajat ja osastonhoitajat,Profesiona Code,Provider,1970-01-01,2099-12-31
2230,Matrons and ward sisters,0,2002200194,Ylihoitajat ja osastonhoitajat,Profesiona Code,Provider,1970-01-01,2099-12-31
22301,Matrons,0,2002200195,Ylihoitajat,Profesiona Code,Provider,1970-01-01,2099-12-31
22302,Ward sisters,0,2002200196,Osastonhoitajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23,Teaching professionals,0,2002200197,Opettajat ja muut opetusalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
231,"College, university and higher education teaching professionals",0,2002200198,Yliopisto- ja korkeakouluopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
2310,"College, university and higher education teaching professionals",0,2002200199,Yliopisto- ja korkeakouluopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23101,Professors,0,2002200200,Professorit,Profesiona Code,Provider,1970-01-01,2099-12-31
23102,Lecturers and senior assistants,0,2002200201,Lehtorit ja yliassistentit,Profesiona Code,Provider,1970-01-01,2099-12-31
23103,Assistants and part-time lecturers,0,2002200202,Assistentit ja tuntiopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
232,Secondary education teaching professionals,0,2002200203,Aineenopettajat ja lehtorit,Profesiona Code,Provider,1970-01-01,2099-12-31
