sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
Närpes_13,Närpes provider number 13,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600101,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
Korsholm_12,Korsholm provider number 12,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600102,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
Maalahti_24,Maalahti provider number 24,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600103,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
Kemiö_30,Kemiö provider number 30,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600104,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
Vaasa_1136,Vaasa provider number 1136,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600105,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
Helsinki_12924,Helsinki provider number 12924,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600106,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
Helsinki_8817,Helsinki provider number 8817,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600107,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
Helsinki_2140,Helsinki provider number 2140,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600108,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
Helsinki_7839,Helsinki provider number 7839,0,,0,UNCHECKED,UNREVIEWED,,,0,Unmapped,,MAPS_TO,,Sam,1720396800000,,2002600109,Service Provider,Provider,1970-01-01,2099-12-31,,,,,
