sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
%m,%m,1755,,2002500227,%m,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8554,percent,Unit,MAPS_TO,,Javier,1717545600000,
eliau/ml,eliau/ml,77836,,2002500228,eliau/ml,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8980,arbitrary unit per milliliter,Unit,MAPS_TO,Javier: assumption 'eliau' is the same as 'au'/'units',Javier,1717545600000,
pg/cell,pg/cell,54822,,2002500229,pg/cell,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8704,picogram per cell,Unit,MAPS_TO,,Javier,1717545600000,
ug/l,ug/l,6191632,,2002500230,ug/l,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8748,microgram per liter,Unit,MAPS_TO,,Javier,1717545600000,
ug/g,ug/g,550839,,2002500231,ug/g,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8720,microgram per gram,Unit,MAPS_TO,,Javier,1717545600000,
g/24h,g/24h,807,,2002500232,g/24h,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8807,gram per 24 hours,Unit,MAPS_TO,,Javier,1717545600000,
mg/24h,mg/24h,2427,,2002500233,mg/24h,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8909,milligram per 24 hours,Unit,MAPS_TO,,Javier,1717545600000,
ug/min,ug/min,31273,,2002500234,ug/min,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8774,microgram per minute,Unit,MAPS_TO,,Javier,1717545600000,
u/field,u/field,1547,,2002500235,u/field,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,EQUAL,Javier,1722946697858,8786,per high power field,Unit,MAPS_TO,Javier: there is not field units,Javier,1722946694339,
%/lymf,%/lymf,7691,,2002500236,%/lymf,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,EQUAL,Javier,1717505156975,9228,percent of lymphocytes,Unit,MAPS_TO,Javier: looking at the data seems the same as %,Javier,1717505153181,
kg/l,kg/l,392002,,2002500237,kg/l,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,9530,kilogram per liter,Unit,MAPS_TO,,Javier,1717545600000,
ratio,ratio,5099,,2002500238,ratio,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8523,ratio,Unit,MAPS_TO,,Javier,1717545600000,
mol/l,mol/l,82,,2002500239,mol/l,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,9586,mole per liter,Unit,MAPS_TO,,Javier,1717545600000,
umol/l,umol/l,40661212,,2002500240,umol/l,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8749,micromole per liter,Unit,MAPS_TO,,Javier,1717545600000,
umol/24h,umol/24h,7355,,2002500241,umol/24h,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8907,micromole per 24 hours,Unit,MAPS_TO,,Javier,1717545600000,
titre,titre,86520,,2002500242,titre,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8525,titer,Unit,MAPS_TO,,Javier,1717545600000,
vol%,vol%,14139,,2002500243,vol%,UNITfi_ALL Level 0,Unit,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8554,percent,Unit,MAPS_TO,,Javier,1717545600000,
